"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Partnered","Mature","Language",""
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","xQc","14220866670","203385","312158","69920","11401978","1849873","true","false","English","xQc"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/f4b12683-57ff-4b57-926a-67512b43a7ff-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Gaules","10049014005","522825","669678","19220","3788270","614030","true","true","Portuguese","Gaules"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ibai","6922197720","83985","3351678","82421","12013253","3545882","true","false","Spanish","ibai"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/ec898e4a-e0df-4dc0-a99d-7540c6dbe1e8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","auronplay","6195788445","68055","457641","91040","14155230","3321172","true","false","Spanish","auronplay"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","ESL_CSGO","5466618540","346485","550154","15777","5837140","784520","true","false","English","ESL_CSGO"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/1f47965f-7961-4b64-ad6f-71808d7d7fe9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Trainwreckstv","4903137750","169635","70364","28904","2115169","506998","true","true","English","Trainwreckstv"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","HasanAbi","4890569340","151380","153661","32306","2290595","680581","true","false","English","HasanAbi"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/61f568bf-884b-4126-b17c-fc525c6d3bd4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","fps_shaka","4823942715","232860","70028","20716","993299","293278","true","false","Japanese","fps_shaka"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/f04d2a14-8d63-4cd5-a469-7ec2cd6e5ce3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","tarik","4442292795","189075","187886","23494","2360366","1260953","true","false","English","tarik"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/asmongold-profile_image-f7ddcbd0332f5d28-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Asmongold","4331239410","61485","448161","70443","3339373","855010","true","false","English","Asmongold"
"11","https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","summit1g","4095988080","250905","55138","16324","6142752","137088","true","false","English","summit1g"
"12","https://static-cdn.jtvnw.net/jtv_user_pictures/4fb94c7a-b4c0-4ed1-9782-b630a59915d5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","eliasn97","4085253420","131100","189931","31161","1292918","606072","true","false","German","eliasn97"
"13","https://static-cdn.jtvnw.net/jtv_user_pictures/c07acddc-1e1b-479f-97c4-09636f80e857-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","loud_coringa","4081973190","94650","198645","43127","3656302","1006344","true","false","Portuguese","loud_coringa"
"14","https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","loltyler1","3917507820","166260","74015","23562","5120071","479660","true","false","English","loltyler1"
"15","https://static-cdn.jtvnw.net/jtv_user_pictures/7a701887-d5fa-4ee8-b277-766d37d3df4b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LCK_Korea","3804313575","77310","692626","49208","1429361","271249","true","false","Korean","LCK_Korea"
"16","https://static-cdn.jtvnw.net/jtv_user_pictures/d534b100-48a4-4ef9-9210-37fcf40ec784-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","VALORANT","3772151955","136005","344755","27735","3520417","1726437","true","false","English","VALORANT"
"17","https://static-cdn.jtvnw.net/jtv_user_pictures/a28b0d37-81d0-415a-8ed8-1a1f998ea26d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Fextralife","3724823325","158670","248428","23475","1442112","485000","true","false","English","Fextralife"
"18","https://static-cdn.jtvnw.net/jtv_user_pictures/10c197cb-295f-4d40-8a6c-26a0a5da22ee-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","AdinRoss","3711185205","70530","266118","52618","6945811","1790703","true","false","English","AdinRoss"
"19","https://static-cdn.jtvnw.net/jtv_user_pictures/787bd9dd-9367-45ed-a44d-d755427549b8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","otplol_","3640982865","481455","204072","7562","611050","175097","true","false","French","otplol_"
"20","https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","Rubius","3635209650","98340","372079","36965","13207487","2766086","true","false","Spanish","Rubius"
"21","https://static-cdn.jtvnw.net/jtv_user_pictures/ab4a35d8-8008-41b8-b0e5-db622e4c0a6f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ROSHTEIN","3616963860","157755","47775","22927","1080581","263545","false","true","English","ROSHTEIN"
"22","https://static-cdn.jtvnw.net/jtv_user_pictures/1d8cd548-04fa-49fb-bfcd-f222f73482b6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","KaiCenat","3602765445","80010","283245","45028","3197091","2383549","true","false","English","KaiCenat"
"23","https://static-cdn.jtvnw.net/jtv_user_pictures/687eca1d-7479-4770-ab2c-fdac418e6c08-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Riot Games (riotgames)","3573169500","76710","988867","46580","6558494","501026","true","false","English","Riot Games (riotgames)"
"24","https://static-cdn.jtvnw.net/jtv_user_pictures/32805a78-d927-48bd-8089-bf5efed53ea4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","casimito","3380408250","103065","540146","32798","3314076","2175983","true","true","Portuguese","casimito"
"25","https://static-cdn.jtvnw.net/jtv_user_pictures/762896bd-e9bd-4b88-8b13-70ca6804aae8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TheGrefg","3349591560","124815","1066622","26836","10431052","1845606","true","false","Spanish","TheGrefg"
"26","https://static-cdn.jtvnw.net/jtv_user_pictures/37454f0e-581b-42ba-b95b-416f3113fd37-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","IlloJuan","3301886085","93435","172014","35338","2699108","1582424","true","false","Spanish","IlloJuan"
"27","https://static-cdn.jtvnw.net/jtv_user_pictures/74586414-e27b-4347-89c5-109e42ac3e1d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","juansguarnizo","3261229995","104880","282341","31094","9413133","3449181","true","false","Spanish","juansguarnizo"
"28","https://static-cdn.jtvnw.net/jtv_user_pictures/198c0fe9-cf41-4ef1-ad55-405c1e599f25-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","elxokas","2900891955","153780","1185959","18863","3037031","1707390","true","false","Spanish","elxokas"
